,0
0,Legg Mason
1,Braydon Moreno
2,Stephen Lewis
3,Michael Eisner
4,Larry Dominique
5,Jim Laird
6,Eve Poll
7,Jonathan Rockoff
8,Tim Sloan
9,Jim Potter
10,Virginia Rometty
11,Alan Abelson
12,Steve Bowbrick
13,Nick Crafts
14,Charles Darwin
15,Case
16,Broderick Johnson
17,Popov
18,Josh Kopelman
19,Ron Paul
20,Eva Moskowitz
21,John Hall
22,Greg Foster
23,Adrian Brown
24,Jim Thompson
25,Janet Yellen
26,Stephen Cooper
27,Smoked Bacon
28,Andrew Lohse
29,Wyatt
30,Danny Ludeman
31,Howard Glaser
32,William Dunkelberg
33,David Benson
34,Marc Hedlund
35,Julian Korek
36,Jeff Skilling
37,Hans Petter Havdal
38,Monty Moran
39,Byrd Leavell
40,Peter Munk
41,William Albano
42,Ken Lo
43,Daan Weddepohl
44,Peter Kamprad
45,Barry Lynn
46,Philippe Morel
47,Chad Hurley
48,Jamie Dimon
49,David Tepper
50,Eric Lefkofsky
51,Lara Logan
52,Liz Wagstrom
53,Wayne Gable
54,Jack Lang
55,James Clark
56,John Bilbrey
57,James Cohen
58,Eric Ripert
59,Eric Kandel
60,John Barton
61,Michael Jeffries
62,Joseph Perella
63,Mykolas Rambus
64,David Robinson
65,Lee Ziff
66,Peter Lindert
67,Mark Tunney
68,Jonathan Lu
69,Dick Costolo
70,Jeremy Lawson
71,Andrew Mason
72,Bobby Jindal
73,Allen Adamson
74,Vern Sumnicht
75,Paula Abrahao
76,Brad Anderson
77,Paul Zemsky
78,Mark Carney
79,Mark Lynch
80,Iarfhlaith Kelly
81,Payne Whitney
82,Dan Weil
83,Patti Hart
84,Tony Hayward
85,Rembrandt
86,Johan Stenebo
87,Tim Evans
88,Powerhouse Germany
89,Peter Robertson
90,Jim Lynn
91,Mark Spiegel
92,Andrei Bondarenko
93,Bill Miller
94,Martin Lindstrom
95,Mrs Rometty
96,Greg Walden
97,Derek Mathieson
98,Eric Ries
99,Craig Pfeiffer
100,John Wren
101,Ross Norman
102,Muchmore
103,John Boyd
104,Edward Stack
105,Tim Rosaforte
106,David Simon
107,Kirk Keel
108,Leslie Patton
109,New Jerseyans
110,Reed Hastings
111,Beth Robertson
112,Carsten Spohr
113,Alexei Shershnyov
114,David Keeble
115,John Pitzer
116,Bill Shorten
117,Philip Owen
118,Bryson
119,Daniel Larimer
120,Larry McDonald
121,Toby Henderson
122,Nikolaos Mihaloliakos
123,Mike Pearson
124,Lauren Ballinger
125,Peter Shiff
126,Dave Honeywell
127,Tony Earley
128,Josh Charney
129,Drew Altman
130,Tim Stockwell
131,Jeff Gomez
132,Andrew Witty
133,Mark McCombe
134,Peter Harf
135,Benson
136,Tom McClintock
137,Peter Barrett
138,Jeff Bewkes
139,Jill Woodman
140,Arnold Schwarzenegger
141,Dan Hertzberg
142,Nikolaos Michaloliakos
143,Vittorio Colao
144,Steichen
145,Roger Cohen
146,Ken Walter
147,Jeff Bezos
148,Mordashov
149,Ian Sheperdson
150,Travis Gilbert
151,Jan Paschal
152,Daniel Schwartz
153,Errol Damelin
154,Indra Nooyi
155,George Orwell
156,Vince Foster
157,William Kemmler
158,Jerry Nagel
159,Ken Griffin
160,Jerrold Nadler
161,Douglas Rediker
162,Michael Schmidt
163,Richard Costolo
164,Kebao Yang
165,Jamie Backwith
166,Tim Parker
167,Michael Nathanson
168,Tim Carney
169,Shipper
170,Brian Eno
171,Jho Low
172,Steve Nison
173,Kimberly MacDonald
174,Hiroshi Nakaso
175,Eric S. Rosengren
176,David Hayes
177,Robin Speakman
178,John Swainson
179,Scott Armstrong
180,Michael Porter
181,Stephen Brown
182,Strong
183,Art Levinson
184,Ted Gullicksen
185,Jim Corgel
186,Tulkarm
187,David Ross
188,Richard Desmond
189,John Stetson
190,Jeff Zucker
191,Bill Burnham
192,Chuck Smith
193,Martin Armstrong
194,Wallenberg
195,Tillerson
196,Reed Elsevier
197,Jeff Katzenberg
198,Rebekah Schaefer
199,Sergio Capaldi
200,Jeremy Levine
201,Stephen Ross
202,John Cook
203,Josh Schwartz
204,Gene Johnson
205,David Noble
206,Charles Simms
207,Shannon Lapierre
208,Dan Gilbert
209,Josh Beck
210,Roger Dow
211,Tim Clark
212,Deborah Wright
213,Doug Hepworth
214,Michael McMorrow
215,Steve Deace
216,Howard Schneider
217,Stuart Singer
218,Sullivan
219,Francisco Rodriguez
220,Brian Sozzi
221,Gary Friedman
222,Joseph Stilwell
223,Kimberly Ann Elliot
224,Evan Clark
225,John Elway
226,Leslie Picker
227,Brevan
228,Angela Ahrendts
229,Peter Cressy
230,Jonathan Bush
231,Jaroslaw Dabrowski
232,Chechen
233,John Heins
234,Frank Geelen
235,Sandy Cutler
236,Modelo Grupo
237,Duncan Niederauer
