,0
0,1.2%
1,47%
2,39.6%
3,47%
4,47%
5,4.2%
6,6.2%
7,47%
8,35%
9,39.6%
10,4.2%
11,6.2%
12,15%
13,20%
14,3.8%
15,23.8%
16,39.6%
17,15%
18,18.8%
19,80-90%
20,40%
21,10%
22,3%
23,3%
24,2%
25,1.7%
26,2%
27,1.5%
28,1.4%
29,0.9%
30,1%
31,1%
32,3%
33,2%
34,1%
35,0%
36,3%
37,3%
38,3%
39,3%
40,3%
41,2%
42,9.3%
43,9%
44,1%
45,1%
46,26%
47,9%
48,3%
49,2%
50,1%
51,1%
52,1.5%
53,1%
54,0.4%
55,3%
56,8%
57,7-8%
58,1%
59,1%
60,50%
61,2%
62,16.0%
63,11.8%
64,3.1%
65,2.9%
66,5-6%
67,2%
68,2%
69,35%
70,39.6%
71,15%
72,20%
73,40%
74,55%
75,15%
76,35%
77,39.5%
78,15%
79,15%
80,20%
81,10%
82,1%
83,1.3%
84,1.5%
85,6.1%
86,6.8%
87,1%
88,1.4%
89,20%
90,39.6%
91,15%
92,5%
93,39.6%
94,35%
95,40%
96,35%
97,40%
98,26%
99,23.8%
100,1.25%
101,70%
102,10%
103,90%
104,1.6%
105,2.0%
106,1.3%
107,1.3%
108,1.3%
109,1.3%
110,2.3%
111,3.5%
112,5.3%
113,2%
114,17%
115,19%
116,5.5%
117,15.96%
118,5%
119,3.1%
120,4%
121,40%
122,2.07%
123,6.67%
124,1.73%
125,8.88%
126,40%
127,69%
128,30%
129,1.73%
130,2.07%
131,48%
132,10%
133,3.60%
134,6.24%
135,13.84%
136,1.8178%
137,+%
138,49%
139,32%
140,24%
141,35%
142,38%
143,4.348%
144,2.701%
145,100%
146,2%
147,3%
148,3.1%
149,2.24%
150,2%
151,3%
152,2%
153,1%
154,33.4%
155,"1,210%"
156,0.19%
157,40%
158,6.5%
159,2.5%
160,40%
161,80%
162,39.6%
163,3.8%
164,23.8%
165,2%
166,100%
167,8%
168,50%
169,84.69%
170,50%
171,4.3%
172,1%
173,1.8%
174,+9%
175,2.83%
176,10.1%
177,9%
178,8.7%
179,7.0%
180,5.5%
181,6.0%
182,5.5%
183,0.9%
184,0.3%
185,0.18%
186,5%
187,1.5%
188,2%
189,11%
190,6.5%
191,11%
192,20%
193,30%
194,30%
195,0.1%
196,7.8%
197,7.7%
198,0.3%
199,2.1%
200,63.6%
201,14.4%
202,1.4%
203,19%
204,13%
205,1.8%
206,2.1%
207,2.1%
208,2.3%
209,3%
210,20%
211,10%
212,1.3%
213,1.3%
214,34%
215,500%
216,53%
217,0.0%
218,21%
219,45%
220,16%
221,32%
222,16%
223,22%
224,32%
225,7.8%
226,50%
227,61.8%
228,2.8%
229,0.825%
230,2%
231,6.5%
232,2.5%
233,1.96%
234,7.7%
235,7.8%
236,6.5%
237,1.91%
238,10%
239,0.2%
240,6%
241,3%
242,3%
243,25%
244,10%
245,1.5%
246,14%
247,40%
248,13%
249,6.5%
250,6.5%
251,1%
252,6%
253,95%
254,50%
255,20%
256,2.4%
257,25%
258,20%
259,25%
260,2.82%
261,%
262,2%
263,9.2%
264,8%
265,2%
266,-0.1%
267,2.23%
268,60%
269,95%
270,-14.5%
271,-6%
272,-4%
273,-0.38%
274,-0.31%
275,-0.09%
276,39%
277,88%
278,4.9%
279,5.1%
280,80%
281,0.27%
282,0.26%
283,0.26%
284,0.24%
285,40%
286,17%
287,6%
288,15-20%
289,20-30%
290,12%
291,38%
292,4.6%
293,62%
294,11%
295,35%
296,12.5%
297,12.5%
298,1.8%
299,1.8%
300,1.9%
301,1.7%
302,0.26%
303,0.18%
304,0.46%
305,0.37%
306,20%
307,7.5%
308,10.25%
309,40%
310,120%
311,13.6%
312,50%
313,9.3%
314,6.5%
315,12.9%
316,40%
317,0.7%
318,25%
319,10%
320,7%
321,20%
322,2%
323,14.5%
324,80%
325,10%
326,13%
327,38%
328,0.5%
329,3%
330,10%
331,-5.6%
332,12%
333,3.7%
334,10%
335,7-8%
336,3-4%
337,20-30%
338,90%
339,100%
340,23.6%
341,11.8%
342,11.7%
343,10.7%
344,10.6%
345,10.0%
346,88%
347,0.1%
348,0.4%
349,0.8%
350,3%
351,40%
352,15%
353,72.7%
354,31.0%
355,19.4%
356,28.1%
357,19.0%
358,35.3%
359,38.6%
360,61.1%
361,181.8%
